하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,All
3,제민약국,4291,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
4,영동대교,4205,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
5,영동대교북단,5220,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
6,노룬산시장앞,5221,,1,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
7,국민은행신자양지점,5200,5,5,1,2,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
8,자양4동주민센터앞,5223,4,14,,2,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
9,신양초등학교앞,5222,,1,,,3,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
10,국민은행신자양지점,5215,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
11,노룬산시장앞,5219,,,,,,,,2,12,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
12,영동대교,4206,,,,,,,,5,20,21,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
13,제민약국,4288,,,,,,,,2,17,12,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
14,성수동진주타운,4204,,,,,,,,,25,7,1,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
15,뚝도시장구길,4202,,,,,,,,2,30,23,7,37,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106
16,서울숲지구대앞,4200,,,,,,,,2,21,7,5,17,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
17,성수1가새마을금고,4172,,,,,,,,1,16,3,5,18,,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55
18,천주교성수동성당앞,4173,,,,,,,,1,3,3,8,17,,1,7,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
19,뚝도아리수정수센터수도박물관,4175,,,,,,,,,5,1,10,8,3,13,10,33,22,32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142
20,서울숲역2번출구,4177,2,,,,,1,,2,15,12,21,18,12,20,32,72,35,37,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291
21,성동구민종합체육센터,4179,,,,,,,,3,7,6,9,7,8,5,17,7,2,14,6,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107
22,성동교남단,4185,,,,,,,,,4,2,11,4,6,10,14,19,15,18,14,20,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151
23,한양대정문앞,4130,,,,,,,,1,3,7,11,9,13,25,32,47,37,27,9,26,29,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288
24,서울숲삼부아파트,4137,,,,,,,,,1,4,6,3,3,3,17,15,12,6,7,5,22,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116
25,왕십리역,4134,,,,,,2,,4,3,5,11,5,1,7,27,32,22,16,9,19,39,21,17,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248
26,코스모타워.서울신용보증재단성동지점,4110,,,,,,,,1,3,7,6,9,5,6,10,8,12,17,10,18,31,17,19,8,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198
27,상왕십리역,4102,,,,,,,,1,5,2,4,4,1,8,16,13,9,16,7,24,24,14,6,12,6,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189
28,왕십리센트라스아파트,4103,,,,,,,,,2,2,4,2,3,1,7,10,4,2,2,13,17,7,14,7,9,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132
29,성동고등학교,2183,,,,,,,,1,,3,3,1,,2,12,9,3,3,2,10,13,8,4,3,7,19,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118
30,신당역.중앙시장앞,2181,,,,,,,,,2,3,10,4,3,2,7,12,2,2,4,12,20,3,5,6,4,14,6,8,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137
31,충무아트센터.스포츠센터.중부소방서,2177,,,,,,,,1,3,4,4,,,2,4,5,6,6,1,11,6,1,4,4,1,9,5,6,18,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110
32,을지로6가.국립중앙의료원,2172,,,,,,,,2,6,2,1,5,5,7,10,6,5,3,1,,8,,4,6,4,9,10,8,30,27,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183
33,방산시장.훈련원종합체육관,2167,,,,,,,,2,1,,8,1,2,1,13,6,6,3,4,7,6,7,7,8,4,16,15,7,27,30,27,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222
34,종로5가,1212,,,,,1,,,1,1,1,6,6,2,6,6,12,1,4,6,6,20,13,17,10,6,34,9,12,44,30,35,14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305
35,동대문역사문화공원,2173,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,1,,,5,27,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
36,동대문역사문화공원,2235,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,12,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
37,충무아트센터.스포츠센터.중부소방서,2178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,50,69,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138
38,신당역.중앙시장앞,2182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,43,58,4,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,125
39,성동고등학교,2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,24,26,6,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
40,신당파인힐하나유보라,2252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,14,1,6,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,35
41,뉴타운아파트,4105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,10,1,6,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,47
42,상왕십리역,4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,14,22,7,9,12,11,14,1,1,,,,,,,,,,,,,,,,,,,,,,,,94
43,왕십리2동주민센터,4109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,15,23,9,14,25,14,11,2,6,2,,,,,,,,,,,,,,,,,,,,,,,124
44,왕십리역,4133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,10,7,17,15,8,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,73
45,행당1동주민센터.성동소방서,4136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,6,,5,6,9,4,,5,5,5,,,,,,,,,,,,,,,,,,,,,,50
46,한양대정문,4129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2,1,3,9,2,9,,7,13,4,1,3,,,,,,,,,,,,,,,,,,,,62
47,성동교남단,4186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,3,2,16,10,13,,10,21,26,10,6,,,,,,,,,,,,,,,,,,,,131
