하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,All
1,중곡초등학교,7186.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,면곡시장,6324.0,33.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62
3,국민은행장안동지점,6235.0,112.0,122.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
4,장안동삼성쉐르빌아파트,6244.0,44.0,69.0,28.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143
5,현대벤처빌.현대썬앤빌,6246.0,33.0,24.0,38.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108
6,우리은행장안지점앞,6248.0,23.0,33.0,108.0,117.0,192.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499
7,장한평역2번출구,6251.0,62.0,225.0,536.0,461.0,419.0,87.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795
8,청년회의소앞,6156.0,24.0,44.0,60.0,69.0,65.0,28.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304
9,하나은행장안동지점,6154.0,18.0,19.0,34.0,11.0,8.0,6.0,53.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168
10,동아.위더스빌아파트,6152.0,20.0,13.0,21.0,14.0,3.0,1.0,143.0,38.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256
11,동답한신동아아파트,6151.0,1.0,4.0,5.0,4.0,,2.0,75.0,33.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129
12,풍안시장.동답초교,6149.0,,,3.0,,2.0,,42.0,22.0,4.0,6.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81
13,동대문구.성동구선거관리위원회,6232.0,,,1.0,2.0,,1.0,62.0,36.0,12.0,17.0,12.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146
14,장안동삼성쉐르빌아파트앞,6356.0,,,,,,2.0,31.0,23.0,14.0,21.0,7.0,5.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111
15,새서울병원,6242.0,,1.0,,1.0,,,37.0,23.0,14.0,17.0,9.0,8.0,9.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129
16,NH농협장안평지점,6240.0,,,,,,,23.0,13.0,10.0,19.0,6.0,6.0,8.0,8.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
17,장안동근린공원,6238.0,,,,1.0,,2.0,35.0,20.0,8.0,24.0,13.0,10.0,5.0,15.0,44.0,25.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204
18,장안2동주민센터,6212.0,,1.0,,,,2.0,64.0,13.0,8.0,11.0,13.0,6.0,4.0,13.0,51.0,39.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238
19,장안동현대아파트앞,6144.0,,1.0,1.0,,1.0,4.0,34.0,6.0,6.0,7.0,1.0,5.0,2.0,7.0,59.0,38.0,15.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
20,휘경여중고휘경주공아파트,6143.0,,,,,,3.0,39.0,9.0,3.0,7.0,,1.0,1.0,15.0,73.0,38.0,9.0,18.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221
21,서울준법지원센터.동성빌라,6141.0,,,,,1.0,,18.0,5.0,3.0,3.0,2.0,1.0,1.0,10.0,31.0,17.0,9.0,23.0,10.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142
22,동일스위트리버앞.휘봉고교,6417.0,,,,,,3.0,20.0,6.0,1.0,7.0,7.0,1.0,6.0,19.0,51.0,18.0,16.0,24.0,15.0,38.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244
23,휘경2동주민센터,6256.0,,,1.0,,2.0,7.0,29.0,20.0,8.0,20.0,16.0,16.0,11.0,43.0,61.0,45.0,11.0,30.0,44.0,62.0,25.0,23.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,476
24,휘경미소지움아파트,6422.0,,,,,2.0,4.0,25.0,14.0,3.0,13.0,8.0,3.0,5.0,13.0,28.0,20.0,4.0,12.0,11.0,32.0,6.0,15.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,227
25,삼육서울병원,6118.0,,,2.0,,2.0,9.0,15.0,8.0,3.0,13.0,4.0,6.0,3.0,19.0,35.0,33.0,19.0,25.0,20.0,89.0,30.0,48.0,7.0,62.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,457
26,회기역종점,6269.0,2.0,1.0,1.0,4.0,9.0,18.0,50.0,18.0,21.0,40.0,31.0,21.0,25.0,71.0,172.0,134.0,78.0,141.0,103.0,325.0,122.0,138.0,66.0,118.0,11.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,1780
27,삼육서울병원,6416.0,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,1.0,115.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,122
28,중랑교,6121.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,96.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,99
29,휘경2동주민센터,6257.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,61.0,14.0,8.0,22.0,,,,,,,,,,,,,,,,,,,,,,108
30,동일스위트리버아파트.휘봉고교,6136.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,153.0,27.0,11.0,22.0,1.0,,,,,,,,,,,,,,,,,,,,,220
