하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,57,All
1,신자초등학교앞,5189,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,자양미소약국.자양골목시장,5190,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3,국민은행자양지점앞,5191,11,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,29
4,자양하늘채베르아파트앞,5193,12,28,20,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
5,동서울우편집중국앞,5192,14,27,75,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170
6,광진구청,5148,23,35,45,19,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133
7,광진경찰서,5146,13,21,28,11,8,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99
8,구의사거리,5154,6,14,18,9,8,23,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
9,구의2동주민센터입구,5152,22,42,59,21,6,38,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226
10,어린이대공원후문아차산역,5006,15,50,62,49,20,70,30,35,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346
11,중곡동입구삼거리,5005,5,12,19,13,9,26,33,16,5,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159
12,군자역.용마초등학교,5003,8,19,20,13,7,26,31,21,14,39,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211
13,군자교입구,5001,5,13,16,13,7,27,21,16,7,30,11,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187
14,장한평역,6003,7,8,36,21,12,42,12,7,20,39,25,28,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280
15,청년회의소,6002,3,6,14,8,5,11,7,11,9,21,7,8,5,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127
16,답십리역사거리,6200,5,5,14,7,9,13,6,4,6,29,14,21,15,25,9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201
17,답십리초등학교.현대시장,6198,4,2,,2,7,12,6,1,4,21,11,22,15,20,15,88,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231
18,답십리2동시온교회앞,6196,,2,2,1,4,3,2,,3,17,3,16,6,16,15,107,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209
19,청솔우성아파트.답십리시장,6194,7,12,14,13,12,16,8,11,14,35,12,39,30,42,24,259,33,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599
20,전농우체국앞,6193,,2,4,6,1,11,1,2,3,16,8,6,13,25,10,106,24,11,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271
21,전농래미안크레시티아파트,6206,,3,,1,8,2,,2,,14,3,5,10,13,10,18,10,9,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125
22,동대문중학교,6204,,,,1,1,1,,1,2,11,3,2,2,7,2,7,4,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
23,래미안크레시티.답십리도서관,6220,1,,,1,,1,4,1,1,2,5,6,7,12,7,14,16,4,12,7,17,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126
24,롯데캐슬노블레스,6218,2,,2,,,7,3,2,,12,5,6,,6,5,9,9,6,10,17,14,16,33,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178
25,청량리역6번출구,6216,7,4,5,4,3,10,5,7,8,33,20,13,12,29,16,35,40,27,53,75,65,37,80,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649
26,청량리.청과물도매시장,6022,2,2,6,5,1,3,2,3,2,10,5,6,11,13,8,13,20,24,37,41,37,18,43,62,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386
27,제기동역.서울약령시,6024,,,1,3,,1,2,1,,4,1,3,3,,3,4,9,4,8,18,13,6,31,29,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162
28,서울시동부병원,6182,,1,,,,1,1,,,,,1,,,,1,3,8,7,17,15,3,7,13,11,17,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133
29,신설동역.서울풍물시장,6008,,,1,,,,1,,,,,,1,,1,1,2,8,8,12,8,2,9,11,5,18,11,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,109
30,신설동역,6102,1,,,,,,,,1,,,,1,,,,1,,,2,1,,1,4,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
31,용두동사거리,6025,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,7,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,11
32,제기동역.서울약령시,6023,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,18,8,7,2,,,,,,,,,,,,,,,,,,,,,,,,,38
33,청량리수산시장,6426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,8,1,3,,,,,,,,,,,,,,,,,,,,,,,,38
34,청량리역6번출구,6217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,8,13,34,4,,,,,,,,,,,,,,,,,,,,,,,71
35,전농시장앞,6219,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,4,23,31,33,104,34,,,,,,,,,,,,,,,,,,,,,,,233
36,동대문구답십리도서관앞,6221,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,25,22,29,75,39,10,1,,,,,,,,,,,,,,,,,,,,,207
37,동대문중학교,6205,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,10,13,22,36,55,16,11,,,,,,,,,,,,,,,,,,,,,176
38,대한노인회동대문구지회,6207,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,12,10,23,26,14,13,6,5,,,,,,,,,,,,,,,,,,,,119
39,전농우체국앞,6192,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,10,10,19,29,26,18,9,11,12,,,,,,,,,,,,,,,,,,,154
40,청솔우성아파트.답십리시장,6195,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,7,12,17,30,12,8,9,13,14,2,1,,,,,,,,,,,,,,,,,131
41,답십리1동희망샘교회앞,6197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,9,6,30,16,8,9,10,10,8,7,,,,,,,,,,,,,,,,,124
42,답십리초등학교앞,6199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,7,16,12,1,8,10,6,25,21,12,,,,,,,,,,,,,,,,130
43,황물로사거리,6201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,4,18,9,5,6,15,9,23,39,24,3,,,,,,,,,,,,,,,158
44,청년회의소.서울새활용플라자,4002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,16,20,8,11,7,12,19,23,10,14,6,3,,,,,,,,,,,,,155
45,장한평역,4003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,20,17,6,12,5,16,29,25,13,11,18,8,6,,,,,,,,,,,,191
46,군자교입구,5002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,12,8,3,10,6,12,21,30,12,11,4,11,17,3,,,,,,,,,,,165
