하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,All
2,국민은행자양지점앞,5191.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3,자양하늘채베르아파트앞,5193.0,11.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
4,자양2동주민센터,5195.0,5.0,4.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
5,구립행복마루어린이집,5196.0,5.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
6,자양한강도서관,5197.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7,신자초등학교앞,5189.0,,,4.0,6.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
8,제일은행사거리,5261.0,,,,2.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,8
9,자양우성아파트앞,5211.0,,,,6.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
10,자양고교앞,5212.0,,,,6.0,11.0,4.0,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
11,신양초등학교앞,5202.0,,,,5.0,,2.0,6.0,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
12,뚝도변전소앞,5203.0,,1.0,,12.0,15.0,8.0,9.0,23.0,18.0,21.0,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121
13,광진문화예술회관,5204.0,2.0,,4.0,26.0,41.0,35.0,45.0,34.0,46.0,34.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280
14,건대입구(가상),5499.0,,1.0,,11.0,16.0,10.0,26.0,29.0,24.0,14.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138
15,건대입구역사거리.건대병원,5232.0,,1.0,2.0,9.0,18.0,13.0,16.0,22.0,27.0,10.0,3.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132
16,어린이대공원역.화양천주교회,5234.0,,,1.0,6.0,3.0,4.0,8.0,20.0,12.0,7.0,5.0,6.0,14.0,,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
17,광진광장,5250.0,,1.0,1.0,,3.0,3.0,9.0,16.0,7.0,16.0,9.0,4.0,16.0,,40.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130
18,화양사거리,5249.0,,1.0,,1.0,2.0,1.0,6.0,8.0,2.0,8.0,5.0,3.0,12.0,,46.0,4.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141
19,성동세무서,4213.0,,,1.0,1.0,2.0,2.0,5.0,6.0,2.0,5.0,3.0,4.0,1.0,,51.0,7.0,72.0,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176
20,제인병원,4211.0,,1.0,,,,,2.0,3.0,,2.0,1.0,,3.0,,17.0,6.0,13.0,17.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
21,성수2가3동주민센터,4269.0,,,1.0,,,,4.0,5.0,1.0,5.0,,,2.0,,16.0,4.0,17.0,12.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
22,리버하우스,4255.0,,,,,2.0,,2.0,1.0,1.0,4.0,1.0,,,,7.0,8.0,6.0,24.0,23.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
23,상원,4188.0,,,,1.0,3.0,2.0,2.0,3.0,3.0,1.0,,,3.0,,8.0,15.0,26.0,29.0,60.0,14.0,10.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195
24,한양대정문앞,4130.0,,,2.0,1.0,5.0,5.0,6.0,4.0,3.0,5.0,3.0,3.0,6.0,,10.0,23.0,57.0,85.0,182.0,18.0,15.0,25.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477
25,서울숲삼부아파트,4137.0,,1.0,,3.0,,,2.0,4.0,,2.0,1.0,,2.0,,3.0,2.0,10.0,11.0,39.0,15.0,1.0,9.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115
26,왕십리역,4134.0,,,1.0,,,,3.0,2.0,1.0,1.0,,,4.0,,5.0,3.0,13.0,19.0,81.0,11.0,13.0,12.0,19.0,9.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204
27,성동구청,4574.0,,,,,,,2.0,1.0,1.0,7.0,4.0,,1.0,,5.0,3.0,9.0,10.0,32.0,10.0,2.0,8.0,12.0,19.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134
28,도선사거리,4121.0,,1.0,,1.0,,2.0,1.0,3.0,,2.0,4.0,,1.0,,6.0,,3.0,3.0,11.0,3.0,1.0,3.0,6.0,19.0,8.0,10.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
29,마장축산물시장,4119.0,,,,,,2.0,2.0,3.0,1.0,,4.0,3.0,,,13.0,4.0,8.0,10.0,25.0,6.0,1.0,4.0,4.0,28.0,12.0,6.0,26.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170
30,동대문구청.용두역3번출구,6164.0,,,,,,,1.0,3.0,,1.0,2.0,1.0,4.0,,10.0,,6.0,7.0,32.0,8.0,7.0,13.0,14.0,49.0,12.0,12.0,24.0,6.0,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226
