하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,All
2,뚝도시장구길,4202,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,서울숲지구대앞,4200,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
4,성수1가새마을금고,4172,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
5,천주교성수동성당앞,4173,3,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
6,뚝도아리수정수센터수도박물관,4175,8,11,23,27,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
7,서울숲역2번출구,4177,16,32,58,28,28,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168
8,성동구민종합체육센터,4179,3,7,10,11,8,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
9,뚝섬역8번출구,4236,17,24,38,28,31,10,21,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175
10,뚝섬역5번출구,4238,4,6,6,3,5,7,35,9,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82
11,성수역1번출구,4240,3,1,5,10,14,6,46,29,22,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145
12,SK테크노빌딩앞,4242,1,,,,,,1,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
13,경동초등학교입구,4244,,,,,,,2,3,1,5,30,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
14,경일초등학교앞,4246,,,,,,,,1,,6,21,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
15,성수공고앞,4181,,,,,,,1,1,1,9,21,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
16,성원중성수동이마트앞,4197,,,,,,,,,2,11,9,6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
17,뚝도시장,4195,,,,,,,3,4,,8,10,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
18,경수중학교,4193,,,,,,,,,3,4,9,1,3,6,7,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
19,성수119안전센터,4191,,,1,,,,,1,2,9,8,8,13,11,9,6,15,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
20,노룬산시장앞,5221,,,,,,,,1,1,3,10,4,14,7,8,1,6,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
21,국민은행신자양지점,5200,,,,,,,,,,2,5,2,16,2,3,4,4,3,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
22,뚝도변전소앞,5203,,,,,,,,,2,2,,2,8,9,12,17,16,4,1,5,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86
23,광진문화예술회관,5204,,,,,1,,1,6,,2,6,1,7,32,27,23,33,12,16,19,9,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201
24,건국대학교앞,5205,,,,,,,1,,1,1,2,5,8,7,6,9,13,8,8,11,9,8,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107
25,자양초등학교앞,5179,,,,,,,,,2,1,1,1,3,7,7,8,16,8,6,31,13,10,16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141
26,자양사거리,5177,,1,,,,,2,2,3,,1,,6,5,10,6,15,5,9,33,19,15,16,28,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182
27,구의역3번출구,5199,,1,,,,1,,,,2,1,,7,3,5,7,8,6,7,21,15,13,12,27,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158
28,광진우체국,5158,,,,,,,,,1,,,2,,4,2,,8,1,2,16,4,6,15,23,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
29,테크노마트앞.강변역,5162,,,,,,,,,1,2,1,,6,4,7,11,21,8,11,14,14,10,11,29,32,11,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,202
30,구의역2번출구,5149,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,19
31,자양사거리,5176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,9,4,,,,,,,,,,,,,,,,,,,,,,,,,43
32,자양초등학교앞,5178,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,22,13,11,,,,,,,,,,,,,,,,,,,,,,,,,49
33,건국대학교앞,5180,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,24,15,11,4,,,,,,,,,,,,,,,,,,,,,,,,56
34,건대로데오거리입구,5218,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,27,38,20,11,4,,,,,,,,,,,,,,,,,,,,,,118
35,대동아파트앞,5214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,21,2,7,10,,,,,,,,,,,,,,,,,,,,,,54
36,국민은행신자양지점,5215,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,13,23,7,3,26,4,,,,,,,,,,,,,,,,,,,,,97
