하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,All
2,자양미소약국.자양골목시장,5190.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
3,국민은행자양지점앞,5191.0,11.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
4,자양하늘채베르아파트앞,5193.0,4.0,15.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
5,잠실대교전망쉼터,24480.0,19.0,22.0,31.0,20.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
6,잠실역6번출구,24137.0,57.0,95.0,183.0,103.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444
7,잠실역.롯데월드,24138.0,11.0,20.0,26.0,21.0,3.0,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
8,잠실5단지,24139.0,7.0,8.0,11.0,11.0,2.0,1.0,10.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
9,잠실새내역.잠실2동주민센터,24141.0,17.0,20.0,18.0,22.0,8.0,1.0,27.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142
10,잠실엘스아파트앞,24142.0,12.0,11.0,14.0,15.0,2.0,7.0,26.0,11.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104
11,종합운동장사거리,24143.0,8.0,7.0,16.0,12.0,6.0,5.0,15.0,10.0,8.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
12,잠실종합운동장,24144.0,10.0,17.0,15.0,12.0,,1.0,2.0,11.0,,5.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89
13,강남경찰서면허시험장,23196.0,12.0,14.0,24.0,23.0,4.0,2.0,6.0,2.0,2.0,9.0,3.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109
14,삼성역7번출구,23197.0,3.0,9.0,8.0,8.0,,5.0,6.0,2.0,,2.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
15,봉은사역3번출구.삼성1파출소,23192.0,1.0,3.0,7.0,11.0,,1.0,4.0,1.0,2.0,6.0,1.0,1.0,10.0,12.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
16,청담역.경기고교,23172.0,,,1.0,4.0,,3.0,8.0,2.0,4.0,7.0,11.0,2.0,43.0,55.0,181.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322
17,진흥아파트,23173.0,,1.0,,6.0,1.0,5.0,2.0,4.0,1.0,6.0,8.0,6.0,10.0,28.0,81.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165
18,청담역7번출구,23207.0,,,,,1.0,,6.0,2.0,,1.0,3.0,1.0,4.0,9.0,15.0,9.0,14.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
19,센트럴아이파크.강남구도시관리공단,23208.0,,1.0,1.0,,,,,,,2.0,1.0,,2.0,6.0,1.0,12.0,42.0,56.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127
20,한별구립어린이집,23209.0,1.0,,4.0,1.0,,,,,,,,,,,1.0,15.0,104.0,128.0,12.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275
21,포스코사거리,23453.0,1.0,,,2.0,,2.0,8.0,5.0,,1.0,2.0,,,1.0,17.0,101.0,281.0,191.0,30.0,21.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666
22,대치사거리,23261.0,1.0,1.0,1.0,,,1.0,2.0,,,,1.0,,,,3.0,43.0,106.0,66.0,42.0,37.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313
23,대치동현대아파트,23262.0,2.0,,,1.0,,2.0,,,1.0,1.0,,,,,4.0,16.0,35.0,29.0,28.0,14.0,14.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151
24,농협대치지점,23224.0,,1.0,,,,1.0,1.0,,,,,,2.0,,1.0,27.0,28.0,39.0,51.0,33.0,40.0,34.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265
25,대치SK.VIEW아파트.서울교회,23225.0,,,1.0,,,1.0,,,1.0,,1.0,1.0,,,2.0,3.0,6.0,13.0,17.0,8.0,11.0,27.0,29.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,138
26,대치역1번출구,23226.0,,1.0,1.0,,,,,,,,,,,,1.0,10.0,9.0,14.0,18.0,16.0,23.0,58.0,72.0,60.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,290
27,래미안대치팰리스,23227.0,,1.0,,,,,,,,,,,1.0,,,3.0,1.0,3.0,9.0,5.0,9.0,10.0,15.0,35.0,4.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,104
28,도곡역2번출구.동부센트레빌,23219.0,,,,,,,,,,,,,,,,6.0,,5.0,4.0,6.0,5.0,16.0,20.0,29.0,6.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,107
29,중대부고,23220.0,,,,1.0,,,,,,,,,,,1.0,2.0,1.0,1.0,4.0,3.0,3.0,10.0,8.0,22.0,5.0,17.0,9.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,99
30,단대부고.대치아이파크아파트,23221.0,,,,,,,2.0,,,,,,,,,2.0,,,1.0,5.0,5.0,14.0,6.0,6.0,5.0,29.0,13.0,13.0,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,118
31,한티역3번출구.서울강남고용노동지청,23222.0,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,2.0,,,2.0,4.0,1.0,,9.0,28.0,10.0,55.0,7.0,22.0,,,,,,,,,,,,,,,,,,,,,144
32,삼성아파트입구,23223.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,7.0,7.0,27.0,114.0,25.0,129.0,10.0,1.0,,,,,,,,,,,,,,,,,,,322
33,대치현대아파트,23247.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,11.0,12.0,58.0,29.0,93.0,26.0,2.0,,,,,,,,,,,,,,,,,,,238
34,대치사거리,23250.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,5.0,10.0,2.0,36.0,19.0,60.0,32.0,8.0,2.0,,,,,,,,,,,,,,,,,,177
35,포스코사거리,23202.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,10.0,1.0,31.0,13.0,44.0,24.0,31.0,21.0,6.0,,,,,,,,,,,,,,,,,184
36,한별구립어린이집,23203.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,6.0,2.0,10.0,4.0,18.0,19.0,33.0,19.0,23.0,3.0,,,,,,,,,,,,,,,,146
37,센트럴아이파크.강남구도시관리공단,23204.0,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,17.0,14.0,36.0,13.0,38.0,62.0,82.0,48.0,116.0,48.0,4.0,,,,,,,,,,,,,,,498
38,진흥아파트청담역,23186.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,4.0,4.0,8.0,44.0,100.0,169.0,430.0,157.0,18.0,2.0,,,,,,,,,,,,,,941
39,청담역.경기고교,23187.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,3.0,2.0,4.0,4.0,2.0,9.0,6.0,8.0,27.0,57.0,,,,,,,,,,,,,125
40,봉은사.삼성1파출소앞,23189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,3.0,6.0,2.0,1.0,,4.0,11.0,144.0,96.0,1.0,,,,,,,,,,,,272
41,무역센터,23198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,3.0,75.0,52.0,4.0,3.0,,,,,,,,,,,140
42,강남경찰서.강남운전면허시험장,23243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,4.0,54.0,38.0,25.0,3.0,3.0,,,,,,,,,,130
43,잠실종합운동장,24154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,2.0,4.0,3.0,5.0,3.0,4.0,5.0,,,,,,,,,29
44,종합운동장사거리,24157.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,2.0,3.0,,1.0,2.0,3.0,18.0,7.0,11.0,6.0,4.0,17.0,5.0,,,,,,,,81
45,잠실새내역4번출구,24158.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,4.0,1.0,2.0,,1.0,4.0,3.0,7.0,1.0,3.0,10.0,11.0,1.0,,,,,,,52
46,잠실트리지움아파트앞,24145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,5.0,,2.0,4.0,2.0,24.0,6.0,9.0,,,,,,,56
47,잠실역7번출구,24133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,3.0,1.0,,2.0,3.0,12.0,5.0,5.0,6.0,14.0,13.0,46.0,37.0,18.0,2.0,,,,,177
48,잠실대교전망쉼터,24479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,2.0,,1.0,,1.0,1.0,5.0,10.0,3.0,8.0,,,,,34
49,자양하늘채베르아파트앞,5187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,2.0,1.0,4.0,1.0,3.0,,12.0,17.0,22.0,11.0,26.0,33.0,17.0,183.0,5.0,4.0,,,347
50,국민은행자양지점앞,5185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,1.0,1.0,1.0,4.0,4.0,,1.0,,5.0,9.0,13.0,20.0,17.0,38.0,15.0,210.0,5.0,12.0,2.0,,362
51,자양미소약국.자양골목시장,5183.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,,2.0,2.0,,,,,11.0,12.0,14.0,9.0,18.0,9.0,103.0,1.0,18.0,5.0,,209
52,신자초등학교앞,5209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,2.0,1.0,6.0,3.0,2.0,3.0,12.0,8.0,11.0,13.0,9.0,88.0,3.0,18.0,8.0,1.0,193
All,,,181.0,258.0,376.0,274.0,34.0,41.0,140.0,97.0,23.0,44.0,56.0,19.0,75.0,111.0,336.0,255.0,630.0,553.0,221.0,158.0,121.0,177.0,163.0,172.0,23.0,131.0,117.0,90.0,367.0,122.0,426.0,249.0,280.0,269.0,598.0,236.0,61.0,357.0,264.0,80.0,66.0,90.0,123.0,136.0,159.0,71.0,594.0,14.0,52.0,15.0,1.0,9506
