하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65,All
1,강동공영차고지,25341.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3,강일고등학교.강일리버파크7단지,25322.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
5,강일리버파크9단지.10단지,25328.0,,,2.0,13.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
6,강일역2번출구,25388.0,,1.0,5.0,53.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76
7,고덕리엔파크2단지,25344.0,,,1.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
8,강명초등학교.고덕리엔파크3단지,25345.0,,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
9,고덕자이.고덕천물놀이장,25109.0,,,,5.0,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
10,고덕자이.상일여고,25250.0,,1.0,2.0,9.0,7.0,7.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
11,상일1동주민센터.고덕사회체육센터,25252.0,,,1.0,2.0,,1.0,1.0,5.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
12,고덕숲아이파크,25254.0,,2.0,1.0,,,2.0,1.0,3.0,2.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
13,강동고등학교,25256.0,,2.0,4.0,4.0,8.0,2.0,6.0,19.0,10.0,25.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
14,한영중고한영외고,25259.0,,,4.0,4.0,11.0,1.0,1.0,11.0,12.0,44.0,27.0,10.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
15,명일동현대아파트,25260.0,,,1.0,,,,,10.0,8.0,30.0,14.0,14.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89
16,고덕삼환.주공9단지아파트,25262.0,,,1.0,,,,,9.0,1.0,16.0,15.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
17,명일여자고등학교,25194.0,,,2.0,2.0,,3.0,,17.0,5.0,20.0,13.0,6.0,9.0,6.0,6.0,5.0,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99
18,길동성당,25196.0,,1.0,3.0,1.0,,,,2.0,2.0,16.0,6.0,8.0,4.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
19,길동신동아아파트,25198.0,,2.0,1.0,1.0,5.0,3.0,1.0,5.0,1.0,16.0,6.0,5.0,9.0,3.0,4.0,12.0,8.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
20,강동농협,25218.0,,,1.0,2.0,1.0,1.0,2.0,5.0,,11.0,9.0,5.0,6.0,2.0,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
21,참잘함한방병원,25220.0,,2.0,1.0,,1.0,,,2.0,2.0,7.0,4.0,1.0,7.0,1.0,6.0,3.0,4.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
22,천동초등학교.천호도서관,25222.0,,,1.0,,2.0,,,,,9.0,2.0,3.0,5.0,2.0,3.0,2.0,7.0,4.0,12.0,9.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
23,강동성심병원(동신중학교),25225.0,,,1.0,2.0,1.0,,,3.0,,3.0,4.0,4.0,6.0,1.0,8.0,7.0,10.0,15.0,22.0,13.0,7.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115
24,조은마디병원,25227.0,,,,,,,,1.0,,1.0,4.0,3.0,5.0,1.0,,3.0,1.0,3.0,12.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
