하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,All
1,송파레미니스후문,24261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,1.0,6
2,신흥운수입구,24259.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3,오금공원사거리,24263.0,17.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
4,오금동대림아파트,24264.0,22.0,16.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
5,방이동대림코오롱아파트,24230.0,10.0,9.0,3.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
6,신구블레스밸리,24228.0,7.0,3.0,6.0,11.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
7,방이초등학교,24218.0,8.0,9.0,7.0,12.0,21.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
8,방이시장입구,24219.0,4.0,1.0,3.0,6.0,11.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
9,서울방이동고분군,24391.0,5.0,5.0,3.0,4.0,8.0,8.0,13.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
10,방이우체국,24220.0,8.0,7.0,1.0,11.0,2.0,10.0,5.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
11,송파나루역,24214.0,8.0,6.0,4.0,14.0,12.0,7.0,7.0,10.0,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
12,송파구청.방이맛골,24215.0,39.0,18.0,9.0,21.0,36.0,22.0,33.0,21.0,26.0,20.0,19.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285
13,잠실역8번출구,24132.0,107.0,49.0,44.0,62.0,65.0,81.0,142.0,140.0,60.0,51.0,53.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912
14,잠실역7번출구,24133.0,7.0,1.0,2.0,2.0,4.0,4.0,10.0,5.0,2.0,3.0,6.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
15,잠실대교전망쉼터,24479.0,2.0,,,1.0,,,4.0,1.0,3.0,2.0,1.0,5.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
16,자양동잠실대교북단,5194.0,7.0,2.0,4.0,7.0,5.0,1.0,16.0,4.0,6.0,7.0,22.0,46.0,32.0,59.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222
17,동서울우편집중국앞,5192.0,1.0,3.0,2.0,1.0,3.0,3.0,5.0,5.0,5.0,2.0,12.0,19.0,16.0,13.0,,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101
18,광진구청,5148.0,1.0,1.0,5.0,2.0,7.0,1.0,2.0,4.0,5.0,8.0,16.0,30.0,27.0,18.0,1.0,7.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145
19,광진경찰서,5147.0,,1.0,3.0,,1.0,1.0,6.0,1.0,5.0,2.0,2.0,7.0,7.0,12.0,,3.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62
20,구의사거리.광진소방서앞,5142.0,1.0,,,,,1.0,7.0,3.0,5.0,2.0,14.0,16.0,11.0,14.0,,9.0,4.0,13.0,15.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133
21,어린이회관,5143.0,,1.0,,1.0,,4.0,4.0,6.0,7.0,2.0,6.0,27.0,20.0,11.0,,25.0,4.0,24.0,32.0,40.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220
22,어린이대공원앞,5140.0,2.0,,,2.0,3.0,,2.0,3.0,9.0,5.0,13.0,13.0,18.0,26.0,2.0,26.0,9.0,36.0,29.0,23.0,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233
23,능동사거리.군자역,5141.0,1.0,1.0,,,,,1.0,3.0,4.0,3.0,9.0,10.0,11.0,9.0,,6.0,3.0,21.0,17.0,12.0,17.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135
24,군자교입구,5001.0,,,,,,5.0,,1.0,2.0,1.0,7.0,16.0,7.0,4.0,,1.0,2.0,4.0,2.0,6.0,17.0,4.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89
25,장한평역,6003.0,,2.0,2.0,,2.0,2.0,1.0,,3.0,6.0,9.0,13.0,14.0,18.0,,4.0,6.0,10.0,5.0,5.0,7.0,17.0,11.0,11.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151
26,청년회의소,6002.0,,,,,,,,1.0,2.0,1.0,3.0,5.0,5.0,8.0,,1.0,,2.0,1.0,1.0,1.0,2.0,5.0,8.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
27,답십리역사거리,6200.0,,,1.0,,,,1.0,3.0,,2.0,3.0,9.0,6.0,4.0,,2.0,9.0,9.0,4.0,2.0,4.0,7.0,8.0,14.0,17.0,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126
28,답십리초등학교.현대시장,6198.0,,,1.0,,,1.0,,,,1.0,2.0,2.0,6.0,6.0,,2.0,2.0,3.0,,,5.0,10.0,10.0,6.0,5.0,7.0,41.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112
29,답십리2동시온교회앞,6196.0,,,1.0,,,,1.0,,,1.0,1.0,2.0,7.0,5.0,1.0,,,1.0,2.0,,1.0,12.0,6.0,4.0,5.0,2.0,72.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127
30,청솔우성아파트.답십리시장,6194.0,,,1.0,,1.0,1.0,,,3.0,1.0,2.0,10.0,11.0,16.0,,3.0,1.0,6.0,1.0,4.0,4.0,7.0,17.0,12.0,19.0,6.0,126.0,13.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274
31,전농우체국앞,6193.0,,,,,,,,,,,2.0,4.0,4.0,6.0,,2.0,1.0,3.0,1.0,2.0,3.0,10.0,12.0,6.0,8.0,10.0,40.0,14.0,5.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142
32,서울시동부교육지원청.해성국제컨벤션고교,6190.0,,,,1.0,1.0,,3.0,,1.0,,2.0,3.0,9.0,4.0,,4.0,1.0,2.0,1.0,2.0,7.0,8.0,11.0,25.0,20.0,12.0,32.0,15.0,3.0,13.0,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193
33,서울시립대입구,6188.0,2.0,,1.0,,1.0,1.0,1.0,1.0,7.0,2.0,5.0,6.0,16.0,17.0,2.0,3.0,4.0,10.0,3.0,8.0,10.0,17.0,20.0,26.0,35.0,16.0,37.0,22.0,14.0,35.0,35.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372
34,떡전교앞,6186.0,,1.0,,,,1.0,1.0,,4.0,1.0,1.0,3.0,4.0,4.0,,4.0,1.0,8.0,1.0,1.0,4.0,8.0,6.0,9.0,19.0,8.0,23.0,13.0,14.0,19.0,16.0,9.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184
35,서울성심병원,6113.0,,1.0,,,,,1.0,,,1.0,1.0,3.0,2.0,1.0,,1.0,4.0,4.0,2.0,1.0,1.0,4.0,6.0,9.0,13.0,7.0,3.0,4.0,7.0,8.0,6.0,4.0,6.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104
36,청량리미주상가앞,6315.0,1.0,1.0,1.0,,,1.0,,,2.0,1.0,2.0,1.0,3.0,1.0,,3.0,,1.0,3.0,2.0,2.0,7.0,2.0,14.0,6.0,4.0,15.0,11.0,13.0,31.0,30.0,10.0,34.0,18.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228
37,청량리역환승센터,6020.0,,,,2.0,1.0,2.0,1.0,,,6.0,3.0,6.0,3.0,5.0,1.0,1.0,,8.0,1.0,1.0,5.0,12.0,9.0,12.0,27.0,16.0,20.0,29.0,21.0,42.0,49.0,41.0,118.0,37.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493
38,현대코아,6284.0,,,,,,,,,,,,2.0,,,,2.0,,,1.0,,1.0,2.0,2.0,,,,1.0,3.0,2.0,4.0,2.0,,2.0,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
39,동대문경찰서,6283.0,,,,,,,,,,1.0,,,,2.0,,,,1.0,,,,,1.0,2.0,,1.0,4.0,2.0,2.0,9.0,6.0,1.0,5.0,3.0,,1.0,21.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
40,정화여자중.상업고등학교,6780.0,,,,,,,,,,,1.0,1.0,,,,,,3.0,1.0,3.0,2.0,2.0,1.0,2.0,5.0,1.0,5.0,3.0,3.0,8.0,11.0,10.0,7.0,9.0,1.0,3.0,88.0,15.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
41,제기동한신아파트앞,6172.0,,,,,,,1.0,,1.0,,1.0,9.0,2.0,,,,,1.0,1.0,,1.0,1.0,,1.0,2.0,3.0,3.0,6.0,9.0,5.0,9.0,14.0,13.0,6.0,2.0,3.0,19.0,3.0,11.0,17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146
42,고려대역.고대앞삼거리,6173.0,,,,,,1.0,,1.0,,,1.0,,1.0,,,1.0,,,,,,2.0,,,,,,2.0,3.0,6.0,6.0,2.0,10.0,3.0,,2.0,22.0,3.0,3.0,11.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90
