하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,All
1,송파레미니스후문,24261.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,3.0,,1.0,,7
2,신흥운수입구,24259.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3,오금공원사거리,24263.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
4,오금동대림아파트,24264.0,25.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
5,방이역,24248.0,60.0,27.0,12.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104
6,올림픽선수촌아파트,24247.0,12.0,9.0,6.0,7.0,17.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
7,올림픽공원역,24245.0,48.0,35.0,15.0,6.0,19.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133
8,오륜교회앞,25188.0,2.0,6.0,2.0,4.0,18.0,8.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
9,JYP엔터테인먼트.윤선생영어교실,25231.0,3.0,9.0,6.0,2.0,29.0,8.0,154.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213
10,한양수자인아파트,25285.0,1.0,4.0,5.0,3.0,18.0,10.0,36.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,82
11,강동보건소앞,25283.0,8.0,6.0,3.0,2.0,17.0,8.0,5.0,11.0,19.0,23.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115
12,강동구청,25281.0,4.0,5.0,1.0,2.0,14.0,4.0,10.0,7.0,65.0,39.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170
13,풍납현대아파트,24468.0,1.0,4.0,1.0,1.0,18.0,6.0,7.0,6.0,17.0,17.0,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
14,풍납동극동.쌍용아파트,24110.0,1.0,3.0,2.0,,4.0,1.0,3.0,3.0,9.0,6.0,7.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
15,올림픽대교남단,24121.0,1.0,2.0,2.0,,,1.0,,2.0,1.0,,1.0,2.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
16,올림픽대교북단사거리,5165.0,5.0,4.0,2.0,1.0,2.0,2.0,5.0,9.0,21.0,9.0,12.0,14.0,26.0,24.0,26.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164
17,래미안구의파크스위트,5155.0,5.0,1.0,1.0,2.0,3.0,5.0,7.0,6.0,13.0,8.0,6.0,9.0,17.0,17.0,19.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132
18,광진경찰서,5145.0,,,1.0,1.0,2.0,4.0,6.0,2.0,10.0,9.0,10.0,8.0,26.0,12.0,6.0,29.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139
19,광진구청,5175.0,,,,,,,,2.0,9.0,7.0,3.0,11.0,12.0,8.0,7.0,14.0,10.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
20,자양사거리,5176.0,1.0,1.0,,,2.0,2.0,2.0,5.0,11.0,2.0,5.0,10.0,12.0,,4.0,9.0,7.0,17.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
21,자양초등학교앞,5178.0,1.0,1.0,2.0,,,1.0,1.0,2.0,4.0,3.0,4.0,4.0,6.0,3.0,3.0,6.0,14.0,32.0,21.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124
22,건국대학교앞,5180.0,1.0,1.0,,1.0,1.0,,2.0,5.0,7.0,4.0,7.0,8.0,8.0,4.0,9.0,19.0,41.0,42.0,38.0,31.0,27.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258
23,건대입구(가상),5499.0,2.0,,1.0,,,,1.0,1.0,8.0,2.0,5.0,5.0,4.0,4.0,10.0,7.0,30.0,39.0,32.0,26.0,18.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203
24,건대입구역사거리.건대병원,5232.0,9.0,7.0,1.0,3.0,6.0,1.0,4.0,6.0,29.0,18.0,15.0,20.0,13.0,7.0,31.0,23.0,61.0,114.0,54.0,56.0,39.0,15.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540
25,어린이대공원역.화양천주교회,5234.0,1.0,,2.0,,,,3.0,,3.0,1.0,,3.0,3.0,2.0,4.0,7.0,,5.0,15.0,20.0,6.0,13.0,,23.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113
26,광진광장,5250.0,1.0,1.0,1.0,,3.0,1.0,1.0,,2.0,2.0,1.0,5.0,7.0,2.0,6.0,5.0,2.0,15.0,27.0,20.0,10.0,17.0,,42.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177
27,화양사거리,5249.0,,1.0,1.0,,1.0,,2.0,1.0,,3.0,3.0,1.0,5.0,2.0,,4.0,2.0,13.0,15.0,19.0,11.0,17.0,,60.0,7.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179
28,송정동서울숲아이파크,5235.0,,,,,,,1.0,,,2.0,1.0,1.0,1.0,3.0,,1.0,1.0,20.0,18.0,15.0,8.0,16.0,,87.0,9.0,25.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218
29,송정동건영아파트,5236.0,,,,,,,,2.0,,,1.0,2.0,,,4.0,,2.0,12.0,6.0,8.0,1.0,17.0,,67.0,7.0,14.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149
30,군자교남단,5237.0,,,1.0,,,,,1.0,4.0,,1.0,,,1.0,1.0,,,2.0,2.0,5.0,2.0,6.0,,10.0,2.0,10.0,21.0,29.0,37.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146
31,장한평역,6003.0,,,,,,,,,2.0,3.0,1.0,1.0,1.0,3.0,3.0,,1.0,1.0,,4.0,11.0,9.0,2.0,37.0,9.0,20.0,70.0,90.0,108.0,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401
32,청년회의소,6002.0,,,,,,,,,,,2.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,2.0,,11.0,,7.0,17.0,19.0,8.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81
33,하나은행장안동지점,6154.0,,,2.0,,,,,,,1.0,1.0,,,,,,,,,4.0,2.0,3.0,,19.0,1.0,3.0,27.0,13.0,11.0,6.0,8.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113
