하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,All
1,긴고랑종점,5503,,,,,,,,,,,,1,17,,,,2,2,,22
5,CU중곡긴고랑점앞,5513,,,1,,,,,,,,,,,,,,,,,1
6,중곡4동어린이집입구,5518,,1,1,,,,,,,,,,,,,,,,,2
7,강원설비앞,5505,,,3,,1,,,,,,,,,,,,,,,4
8,긴고랑입구,5523,4,,3,1,1,,,,,,,,,,,,,,,9
9,신성시장앞,5118,5,4,18,2,4,3,,,,,,,,,,,,,,36
10,중곡동입구,5260,,5,5,4,4,4,4,3,7,,,,,,,,,,,36
11,아차산역삼거리,5256,7,5,6,3,19,10,15,6,20,2,3,,,,,,,,,96
12,용마초등학교,5257,22,17,100,22,48,36,32,14,27,6,3,1,,,,,,,,328
13,군자역,5542,5,3,26,4,11,13,7,3,11,3,1,6,3,,,,,,,96
14,중곡2동주민센터앞,5113,,,2,1,1,1,,,,,1,3,16,,,,,,,25
15,용마사거리,5994,,,,,1,,,,1,,2,5,17,,,,,,,26
16,중곡우체국앞,5540,,,,,,,,,,,,,30,3,,,,,,33
17,중곡보건지소,5554,,,,,,,,,,,,,26,5,,1,,,,32
18,긴고랑입구,5559,,,,,,,,,,,,8,34,8,1,,,,,51
19,강원설비앞,5506,,,,,,,,,,,1,6,27,4,2,1,,2,,43
20,중곡4동어린이집입구,5564,,,,,,,,,,,,7,47,1,,1,,,,56
21,CU중곡긴고랑점앞,5569,,,,,,,,,,,,13,35,1,4,2,,2,3,60
22,중곡4동경로당입구앞,5510,,,,,,,,,,,,6,31,1,,,2,6,,46
23,중앙상회앞,5574,2,,,,,,,,,,1,26,77,,2,,2,7,1,118
All,,,45,35,165,37,90,67,58,26,66,11,12,82,360,23,9,5,6,19,4,1120
