하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,All
1,중곡119안전센터,5755.0,3.0,,1.0,,,,,,,,,,,,,,,,,1.0,10.0,,2.0,1.0,4.0,4.0,3.0,1.0,1.0,2.0,,3.0,1.0,6.0,8.0,1.0,,5.0,,,,,57
3,구.새마을금고앞,5512.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
4,신성시장입구,5517.0,12.0,15.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,35
5,마을금고.브레드제과점,5522.0,7.0,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,20
6,우리들약국,5527.0,17.0,9.0,1.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
7,해오름공원입구,5531.0,16.0,22.0,3.0,13.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,60
8,기원정사입구,5536.0,34.0,32.0,5.0,32.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,112
9,영화사입구,5541.0,7.0,20.0,5.0,7.0,5.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,50
10,성안약국,5545.0,7.0,7.0,4.0,10.0,3.0,3.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,42
11,지영슈퍼,5549.0,4.0,7.0,4.0,11.0,13.0,7.0,8.0,9.0,11.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,80
12,아차산역사거리,5553.0,6.0,17.0,11.0,7.0,8.0,18.0,6.0,10.0,12.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104
13,선화예고앞,5558.0,4.0,9.0,,6.0,3.0,,3.0,12.0,2.0,3.0,1.0,5.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,50
14,한국켄트외국인학교,5563.0,4.0,9.0,1.0,6.0,2.0,4.0,7.0,8.0,7.0,4.0,4.0,9.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,72
15,구의사거리,5153.0,2.0,17.0,5.0,8.0,5.0,4.0,5.0,21.0,15.0,11.0,9.0,18.0,10.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,138
