하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,All
1,중곡아파트.기점,5511.0,,,,,,,,,,,,,,,,,,,2.0,,4.0,10.0,1.0,6.0,6.0,16.0,8.0,1.0,1.0,3.0,21.0,17.0,16.0,14.0,6.0,3.0,1.0,136
2,면곡시장,5120.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,1.0,1.0,,,,6
3,면곡시장,5687.0,5.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,1.0,2.0,1.0,,,,,14
4,면곡시장앞,5129.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,3
5,중곡3동주민센터앞,5128.0,1.0,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,8
6,중곡역입구,5126.0,4.0,,12.0,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
7,중마초등학교.중곡제일골목시장앞,5124.0,,2.0,8.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,16
8,기업은행.용마사거리,5535.0,3.0,,6.0,6.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
9,중곡우체국앞,5540.0,1.0,1.0,17.0,10.0,3.0,3.0,7.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
10,중곡보건지소,5554.0,4.0,1.0,17.0,9.0,9.0,8.0,7.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
11,신성시장앞,5118.0,5.0,6.0,6.0,5.0,10.0,11.0,9.0,21.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,82
12,중곡동입구,5260.0,1.0,2.0,3.0,4.0,7.0,8.0,17.0,15.0,5.0,10.0,29.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,102
13,어린이대공원후문아차산역,5007.0,11.0,5.0,15.0,5.0,26.0,21.0,27.0,26.0,31.0,26.0,69.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,266
14,선화예고앞,5558.0,3.0,1.0,3.0,,4.0,4.0,2.0,2.0,11.0,3.0,8.0,2.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,53
15,한국켄트외국인학교,5563.0,,1.0,1.0,3.0,2.0,,1.0,8.0,,1.0,6.0,2.0,26.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,59
16,구의사거리,5153.0,2.0,2.0,5.0,,7.0,1.0,6.0,11.0,6.0,10.0,11.0,4.0,26.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,102
17,광진경찰서,5145.0,3.0,2.0,7.0,7.0,9.0,10.0,9.0,25.0,14.0,7.0,26.0,16.0,32.0,12.0,12.0,,3.0,,,,,,,,,,,,,,,,,,,,,194
18,광진구청,5175.0,1.0,2.0,8.0,4.0,9.0,1.0,11.0,10.0,5.0,4.0,23.0,11.0,23.0,14.0,15.0,12.0,39.0,1.0,,,,,,,,,,,,,,,,,,,,193
19,구의역4번출구,5580.0,8.0,4.0,9.0,8.0,10.0,5.0,11.0,12.0,20.0,34.0,49.0,42.0,70.0,77.0,81.0,44.0,113.0,15.0,,,,,,,,,,,,,,,,,,,,612
20,구의역3번출구,5199.0,1.0,2.0,5.0,3.0,5.0,2.0,3.0,4.0,3.0,,12.0,5.0,10.0,7.0,3.0,3.0,9.0,5.0,2.0,,,,,,,,,,,,,,,,,,,84
21,광진우체국,5158.0,5.0,1.0,4.0,1.0,6.0,4.0,3.0,5.0,4.0,3.0,8.0,8.0,15.0,3.0,4.0,2.0,6.0,9.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,98
