하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,All
1,신자초등학교앞,5189.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,3.0,5.0,100.0,9.0,7.0,3.0,1.0,,129
2,제일은행사거리,5261.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3,자양우성아파트앞,5211.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
4,자양고교앞,5212.0,13.0,6.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
5,신양초등학교앞,5202.0,17.0,5.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
6,뚝도변전소앞,5203.0,66.0,34.0,58.0,62.0,14.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239
7,광진문화예술회관,5204.0,268.0,147.0,230.0,129.0,24.0,19.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830
8,건국대학교앞,5205.0,8.0,3.0,3.0,7.0,16.0,21.0,42.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105
9,송림식당앞,5539.0,2.0,,1.0,2.0,7.0,17.0,93.0,22.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,145
10,자양중학교앞,5544.0,,,,,2.0,7.0,111.0,37.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,161
11,자양미소약국.자양골목시장,5190.0,1.0,,,,7.0,5.0,191.0,52.0,20.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,284
12,국민은행자양지점,5551.0,1.0,,1.0,,12.0,13.0,249.0,86.0,11.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,381
13,국민은행자양지점앞,5191.0,2.0,,1.0,1.0,12.0,13.0,242.0,67.0,3.0,7.0,9.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,361
14,성자초등학교앞,5562.0,1.0,,,1.0,4.0,9.0,161.0,41.0,10.0,10.0,20.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,264
15,자양하늘채베르아파트앞,5193.0,,1.0,,1.0,10.0,5.0,107.0,51.0,17.0,11.0,19.0,9.0,13.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,256
16,행운슈퍼앞,5572.0,1.0,,,2.0,5.0,3.0,37.0,15.0,3.0,5.0,5.0,4.0,10.0,8.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,109
17,한창주택,5576.0,,,1.0,,3.0,,20.0,6.0,3.0,4.0,11.0,6.0,9.0,4.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,81
18,구의아크로리버앞,5579.0,1.0,,1.0,4.0,6.0,7.0,19.0,33.0,10.0,9.0,46.0,19.0,43.0,37.0,64.0,31.0,25.0,2.0,,,,,,,,,,,,,,,,,,,357
19,강변역A,5582.0,7.0,,3.0,11.0,7.0,11.0,32.0,30.0,15.0,30.0,142.0,98.0,196.0,160.0,150.0,96.0,60.0,13.0,3.0,,,,,,,,,,,,,,,,1.0,,1065
20,동서울호텔앞,5585.0,,,,,,,,1.0,,,1.0,,,,1.0,,,3.0,23.0,1.0,,,,,,,,,,,,,,,,,30
21,한창주택,5588.0,,,,,,,,,,,,,,,,,,7.0,116.0,7.0,,,,,,,,,,,,,,,,,130
22,행운슈퍼앞,5589.0,,,,,,,,,,,,,,,,,,12.0,90.0,21.0,,1.0,,,,,,,,,,,,,,,124
23,자양하늘채베르아파트앞,5187.0,,,,,,,,,,,,,,,,,1.0,20.0,217.0,42.0,4.0,1.0,2.0,,,,,,,,,,,,,,287
24,성자초등학교앞,5596.0,,,,,,,,,,,,,,,,,1.0,6.0,165.0,20.0,3.0,3.0,8.0,,,,,,,,,,,,,,206
25,국민은행자양지점앞,5185.0,,,,,,,,,,,,,,,,,,14.0,125.0,21.0,2.0,7.0,15.0,,,,,,,,,,,,,,184
26,국민은행자양지점,5668.0,,,,,,,,,,,,,,,1.0,,,13.0,104.0,13.0,3.0,4.0,26.0,3.0,2.0,1.0,,,,,,,,,,,170
27,자양미소약국.자양골목시장,5183.0,,,,,,,,,,,1.0,,,,,,,3.0,86.0,18.0,10.0,7.0,29.0,12.0,2.0,5.0,1.0,,,,,,,,,,174
28,자양중학교앞,5677.0,,,,,,,,,,,,,,,,,,4.0,32.0,17.0,6.0,2.0,28.0,10.0,9.0,6.0,14.0,1.0,,,,,,,,,129
29,자양1파출소앞,5680.0,,,,,,,,,,,,,,,,,,,9.0,6.0,2.0,6.0,20.0,13.0,19.0,18.0,16.0,6.0,7.0,,,,,,,,122
